PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
38434374,A case report of Balamuthia mandrillaris encephalitis,"Li Z, Li W, Li Y, Ma F, Li G.",Heliyon. 2024 Feb 22;10(5):e26905. doi: 10.1016/j.heliyon.2024.e26905. eCollection 2024 Mar 15.,Li Z,Heliyon,2024,2024/3/4,PMC10907760,,10.1016/j.heliyon.2024.e26905
38615598,Metagenomic next-generation sequencing for diagnosing severe leptospirosis in a patient suspected COVID-19: A case report,"Li W, Wang S, Zheng D.",Diagn Microbiol Infect Dis. 2024 Jul;109(3):116288. doi: 10.1016/j.diagmicrobio.2024.116288. Epub 2024 Mar 26.,Li W,Diagn Microbiol Infect Dis,2024,2024/4/14,,,10.1016/j.diagmicrobio.2024.116288
37945272,Metagenomic next-generation sequencing identifying a rare case of Mycobacterium xenopi discitis,"Nasir AZ, Egwuatu N, Jameson A.",BMJ Case Rep. 2023 Nov 9;16(11):e255594. doi: 10.1136/bcr-2023-255594.,Nasir AZ,BMJ Case Rep,2023,2023/11/9,PMC10649578,,10.1136/bcr-2023-255594
36408040,Metagenomic next-generation sequencing assists in the diagnosis of Cryptococcus pneumonia: Case series and literature review,"Wang H, Yan S, Liu Y, Li Y, Cui G, Ma X.",Front Public Health. 2022 Nov 4;10:971511. doi: 10.3389/fpubh.2022.971511. eCollection 2022.,Wang H,Front Public Health,2022,2022/11/21,PMC9672815,,10.3389/fpubh.2022.971511
39482008,A case of Fitz-Hugh-Curtis syndrome diagnosed by noninvasive metagenomic next-generation sequencing,"Ding C, Chen R, Guo P, Yang J, He M.",Taiwan J Obstet Gynecol. 2024 Nov;63(6):935-940. doi: 10.1016/j.tjog.2024.04.020.,Ding C,Taiwan J Obstet Gynecol,2024,2024/10/31,,,10.1016/j.tjog.2024.04.020
36225772,Empyema caused by Eikenella halliae diagnosed by metagenomic next-generation sequencing (mNGS) after pulmonary surgery: A case report,"Huang J, Wang L, Xu Y, Hu X, Yu R, Chen S, Wang B.",Front Public Health. 2022 Sep 26;10:897602. doi: 10.3389/fpubh.2022.897602. eCollection 2022.,Huang J,Front Public Health,2022,2022/10/13,PMC9550235,,10.3389/fpubh.2022.897602
37743869,Case Report: Metagenomic next-generation sequencing assists in dynamic pathogen monitoring: powerful tool for progressing severe pneumonia,"Li Y, Lei J, Ren Z, Ma X.",Front Cell Infect Microbiol. 2023 Sep 4;13:1230813. doi: 10.3389/fcimb.2023.1230813. eCollection 2023.,Li Y,Front Cell Infect Microbiol,2023,2023/9/25,PMC10512180,,10.3389/fcimb.2023.1230813
35425780,Metagenomic Next-Generation Sequencing to Investigate Infectious Endophthalmitis of Brucella: A Case Report,"Xi H, Zhang L, Xu B, Liu H, Li S.",Front Med (Lausanne). 2022 Mar 29;9:847143. doi: 10.3389/fmed.2022.847143. eCollection 2022.,Xi H,Front Med (Lausanne),2022,2022/4/15,PMC9001913,,10.3389/fmed.2022.847143
40140741,Metagenomic next-generation sequencing for the diagnosis of Corynebacterium striatum meningitis: case report and literature review,"Zhao X, Liu X, Wang Z, Wei S, Wu Z.",BMC Neurol. 2025 Mar 26;25(1):127. doi: 10.1186/s12883-025-04138-z.,Zhao X,BMC Neurol,2025,2025/3/27,PMC11938648,,10.1186/s12883-025-04138-z
37809036,The Clinical Impact of Metagenomic Next-Generation Sequencing for the Diagnosis of Periprosthetic Joint Infection,"Li H, Niu E, Fu J, Huang Y, Gao Y, Chai W, Chen J.",Infect Drug Resist. 2023 Oct 2;16:6521-6533. doi: 10.2147/IDR.S420325. eCollection 2023.,Li H,Infect Drug Resist,2023,2023/10/9,PMC10557970,,10.2147/IDR.S420325
